Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Sharding Sphinx,SCD,Starter Commander Decks,59,normal,rare,1,77281,2861e7a8-0cf5-4b65-adf9-5e7863032c9c,0.18,false,false,near_mint,en,USD
Flashfreeze,FDN,Foundations,590,normal,uncommon,1,100831,91e37a7e-6093-4ef5-b6e4-4aa800ddfc1b,0.11,false,false,near_mint,en,USD
Island,SCD,Starter Commander Decks,340,normal,common,7,77523,cd2f1d4f-562c-4a21-b3da-c84fae471104,0.16,false,false,near_mint,en,USD
Island,FDN,Foundations,275,normal,common,8,100260,23635e40-d040-40b7-8b98-90ed362aa028,0.11,false,false,near_mint,en,USD
Opt,FDN,Foundations,512,normal,common,4,100539,58d26b54-0093-4e90-a2b1-b57c64340f9c,0.12,false,false,near_mint,en,USD
Inspiration from Beyond,FDN,Foundations,43,normal,uncommon,1,101033,b636fe95-664f-4fb1-aab9-28856edeccd6,0.1,false,false,near_mint,en,USD
Tempest Djinn,FDN,Foundations,598,normal,rare,1,100692,7766506c-bc18-4ac3-9034-e8f7e54c4039,0.15,false,false,near_mint,en,USD
Fleeting Distraction,FDN,Foundations,155,normal,common,1,101587,c0b86a7b-4912-43a7-ab89-c3432385baa1,0.03,false,false,near_mint,en,USD
Dive Down,FDN,Foundations,588,normal,common,1,100608,65d5cff9-a3ec-432d-9ce5-68949e524279,0.13,false,false,near_mint,en,USD
Mystical Teachings,FDN,Foundations,594,normal,uncommon,1,100407,3f88eacf-5c7b-4a35-86f0-af3b0516d4c2,0.1,false,false,near_mint,en,USD
Arbiter of Woe,FDN,Foundations,55,normal,uncommon,1,101008,b2496c4a-df03-4583-bd76-f98ed5cb61ee,0.1,false,false,near_mint,en,USD
Deathmark,FDN,Foundations,601,normal,uncommon,1,100423,42592d75-593e-4719-b13b-bca374017e79,0.15,false,false,near_mint,en,USD
Demonic Pact,FDN,Foundations,602,normal,mythic,1,100549,5b0b7242-df91-48cf-bf4e-b68306c9965f,0.61,false,false,near_mint,en,USD
Desecration Demon,FDN,Foundations,603,normal,rare,1,100509,52bf6460-0df6-4dd3-8af8-df728683bcaa,0.34,false,false,near_mint,en,USD
Dread Summons,FDN,Foundations,604,normal,rare,1,101238,dfb5dd33-6e5b-4d78-92fa-678c9f01c606,0.22,false,false,near_mint,en,USD
Driver of the Dead,FDN,Foundations,605,normal,common,1,100431,4443696a-0b9a-4081-91aa-800b5c4065d2,0.11,false,false,near_mint,en,USD
Duress,FDN,Foundations,606,normal,common,1,100348,34c3a894-ee75-4db9-a69f-711bb3cc150a,0.15,false,false,near_mint,en,USD
Exsanguinate,FDN,Foundations,173,normal,uncommon,1,101330,f11d7311-4066-4a5d-ba28-9857fa707a0b,0.21,false,false,near_mint,en,USD
Fake Your Own Death,FDN,Foundations,174,normal,common,1,101539,693635a6-df50-44c5-9598-0c79b45d4df4,0.1,false,false,near_mint,en,USD
Feed the Swarm,FDN,Foundations,712,foil,common,1,101273,e66d4541-160c-4137-98e7-0eaa692c7d7a,0.3,false,false,near_mint,en,USD
Gatekeeper of Malakir,FDN,Foundations,713,foil,uncommon,1,100306,2cd61c12-f5e2-4698-9080-097679754f16,0.21,false,false,near_mint,en,USD
Gutless Plunderer,FDN,Foundations,60,normal,common,1,101567,909d7778-c7f8-4fa4-89f2-8b32e86e96e4,0.07,false,false,near_mint,en,USD
Kalastria Highborn,FDN,Foundations,607,normal,rare,1,100208,1a52f6ef-7759-4be3-8b80-a57e9d6ae386,0.59,false,false,near_mint,en,USD
Knight of Malice,FDN,Foundations,608,normal,uncommon,1,101061,bb678e10-e5a4-4143-8e49-7b523118674e,0.16,false,false,near_mint,en,USD
Massacre Wurm,FDN,Foundations,714,foil,mythic,1,100372,39be2675-986c-4812-9448-99737e797671,1.28,false,false,near_mint,en,USD
Midnight Reaper,FDN,Foundations,609,normal,rare,1,101336,f229b0e6-1ffd-410e-b04b-a0afc179c58c,0.3,false,false,near_mint,en,USD
Midnight Snack,FDN,Foundations,65,normal,uncommon,1,101129,c9b7543f-2a45-4db6-b560-d15507a58c91,0.09,false,false,near_mint,en,USD
